STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHS,"Bahamas, The",WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BHR,Bahrain,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,1.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGD,Bangladesh,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,10.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLR,Belarus,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEL,Belgium,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BLZ,Belize,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BEN,Benin,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,9.8,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,9.1,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BOL,Bolivia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,6.6,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BIH,Bosnia and Herzegovina,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,6.1,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BWA,Botswana,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,3.9,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,7.8,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.9,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BFA,Burkina Faso,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.6,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BDI,Burundi,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CPV,Cabo Verde,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,KHM,Cambodia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,10.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CMR,Cameroon,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,6.8,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.2,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TCD,Chad,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,6.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,6.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHN,China,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,8.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COL,Colombia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,8.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COM,Comoros,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COG,"Congo, Rep.",WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,COD,"Congo, Dem. Rep.",WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,8.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CRI,Costa Rica,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,3.1,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.3,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,HRV,Croatia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CUB,Cuba,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,3.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CYP,Cyprus,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.5,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CZE,Czechia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.6,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DNK,Denmark,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,3.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DJI,Djibouti,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,2.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DMA,Dominica,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,DOM,Dominican Republic,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,8.2,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECU,Ecuador,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,5.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EGY,"Egypt, Arab Rep.",WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,8.1,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SLV,El Salvador,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,4.4,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,GNQ,Equatorial Guinea,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,3.4,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ERI,Eritrea,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,2.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EST,Estonia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,2.7,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ETH,Ethiopia,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,7.1,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FJI,Fiji,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FIN,Finland,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,0.0,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,FRA,France,WB_CLEAR_EXP_DRT,Exposure to Droughts,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,0_TO_10,0-10 scale,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,2015,7.6,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,IX,Index,602,CCYY,A,Normal value,PU,Public
